symbol,timeframe,direction,confidence,ai_score,ta_strength,signal_strength,whale_score,social_score,news_score,whale_direction_score,breakout_probability,entry_price,current_price,take_profit,stop_loss,support_level,resistance_level,target_time_hours,predicted_breakout_threshold,predicted_breakout_time_hours,timestamp,status,success_metrics,confidence_level,volume_score,pattern_score,momentum_score,order_book_imbalance,top_bid_walls,top_ask_walls,market_regime,regime_note
BTTC/USDT,1h,LONG,0.36865354572844855,0,0,0,0,0.0,0.0,-0.18080557461387126,0,6.8e-07,6.8e-07,6.969999999999998e-07,6.735714285714286e-07,6.702035714285714e-07,7.004849999999998e-07,24.0,0.025,30.6,2025-07-16 00:01:25.858676,ACTIVE,{},0,0.2,0.5,0.5,-0.02563455375259817,"[{""price"": 6.7e-07, ""amount"": 305035748179.0}, {""price"": 6.8e-07, ""amount"": 286618820345.0}, {""price"": 6.6e-07, ""amount"": 247368146576.0}]","[{""price"": 6.9e-07, ""amount"": 271294675093.0}, {""price"": 7e-07, ""amount"": 250793914957.0}, {""price"": 7.1e-07, ""amount"": 213097537115.0}]",unknown,
CATI/USDT,1h,LONG,0.36864767663024023,0,0,0,0,0.0,0.0,-0.07529334276665686,0,0.0982,0.0982,0.10065499999999998,0.09679642857142857,0.09631244642857144,0.10115827499999996,24.0,0.025,30.6,2025-07-16 00:09:14.169158,ACTIVE,{},0,0.2,0.5,0.5,0.019320609477456965,"[{""price"": 0.0961, ""amount"": 597430.3}, {""price"": 0.0971, ""amount"": 306464.2}, {""price"": 0.0959, ""amount"": 278257.0}]","[{""price"": 0.1001, ""amount"": 666959.6}, {""price"": 0.0991, ""amount"": 322693.3}, {""price"": 0.0999, ""amount"": 303832.4}]",unknown,
CHR/USDT,1h,LONG,0.3686827769127564,0,0,0,0,0.0,0.0,-0.5038924851012366,0,0.0949,0.0949,0.09727249999999998,0.09397857142857143,0.09350867857142857,0.09775886249999997,24.0,0.025,30.6,2025-07-16 00:12:06.284921,ACTIVE,{},0,0.2,0.5,0.5,-0.2726038787052906,"[{""price"": 0.075, ""amount"": 135812.0}, {""price"": 0.086, ""amount"": 123847.0}, {""price"": 0.087, ""amount"": 120777.0}]","[{""price"": 0.0968, ""amount"": 293769.0}, {""price"": 0.1, ""amount"": 276506.0}, {""price"": 0.0973, ""amount"": 231596.0}]",unknown,
CATI/USDT,1h,LONG,0.36864767663024023,0,0,0,0,0.0,0.0,0.20891422560035983,0,0.0994,0.0994,0.10188499999999999,0.09795,0.09746025,0.10239442499999998,24.0,0.025,30.6,2025-07-16 00:15:02.479938,ACTIVE,{},0,0.4,0.5,0.5,0.035225519372525875,"[{""price"": 0.0973, ""amount"": 1016199.4}, {""price"": 0.0983, ""amount"": 391143.3}, {""price"": 0.0964, ""amount"": 287333.3}]","[{""price"": 0.1012, ""amount"": 639351.0}, {""price"": 0.1002, ""amount"": 383742.4}, {""price"": 0.0999, ""amount"": 247759.6}]",unknown,
CETUS/USDT,1h,LONG,0.36873935853766115,0,0,0,0,0.0,0.0,0.99999999998636,0,0.1217,0.1217,0.12474249999999999,0.12003214285714287,0.11943198214285715,0.1253662125,24.0,0.025,30.6,2025-07-16 00:15:27.555604,ACTIVE,{},0,0.2,0.5,0.5,0.3495439319927372,"[{""price"": 0.115, ""amount"": 637508.8}, {""price"": 0.1206, ""amount"": 272221.4}, {""price"": 0.1126, ""amount"": 200000.0}]","[{""price"": 0.1236, ""amount"": 100767.8}, {""price"": 0.1285, ""amount"": 65606.8}, {""price"": 0.133, ""amount"": 56529.3}]",unknown,
BIO/USDT,1h,LONG,0.36871243782913377,0,0,0,0,0.0,0.0,-0.9999999999739513,0,0.0705,0.0705,0.0722625,0.06946071428571428,0.0691134107142857,0.07262381249999998,24.0,0.025,30.6,2025-07-16 00:15:53.235355,ACTIVE,{},0,0.2,0.5,0.5,-0.04721097983165204,"[{""price"": 0.0699, ""amount"": 358410.7}, {""price"": 0.0696, ""amount"": 255921.3}, {""price"": 0.069, ""amount"": 143446.9}]","[{""price"": 0.08, ""amount"": 479870.0}, {""price"": 0.0711, ""amount"": 255203.7}, {""price"": 0.078, ""amount"": 231723.2}]",unknown,
BMT/USDT,1h,LONG,0.3687378496833551,0,0,0,0,0.0,0.0,0.08291287296739397,0,0.0854,0.0854,0.08679285714285713,0.0849357142857143,0.08451103571428573,0.08722682142857141,24.0,0.025,30.6,2025-07-16 00:16:26.120379,ACTIVE,{},0,0.2,0.5,0.5,0.07339700527934484,"[{""price"": 0.0836, ""amount"": 449299.3}, {""price"": 0.0849, ""amount"": 419587.7}, {""price"": 0.0845, ""amount"": 270263.1}]","[{""price"": 0.087, ""amount"": 429792.5}, {""price"": 0.0858, ""amount"": 320036.9}, {""price"": 0.0862, ""amount"": 224149.9}]",unknown,
BONK/USDT,1h,LONG,0.3686790548297011,0,0,0,0,0.0,0.0,0.0,0,2.929e-05,2.929e-05,3.0022249999999995e-05,2.8850649999999998e-05,2.8706396749999996e-05,3.017236124999999e-05,24.0,0.025,30.6,2025-07-16 00:22:31.891078,ACTIVE,{},0,0.2,0.5,0.5,0.10549186440668798,"[{""price"": 2.899e-05, ""amount"": 7631057196.0}, {""price"": 2.9e-05, ""amount"": 6208217458.0}, {""price"": 2.889e-05, ""amount"": 6042376516.0}]","[{""price"": 2.946e-05, ""amount"": 8446238126.0}, {""price"": 2.943e-05, ""amount"": 5989570700.0}, {""price"": 2.944e-05, ""amount"": 5962119625.0}]",unknown,
BANANA/USDT,1h,LONG,0.37158498291377495,0,0,0,0,0.0,0.0,0.0,0,23.67,23.67,24.26175,23.31495,23.198375249999998,24.383058749999996,24.0,0.025,30.6,2025-07-16 00:22:59.475485,ACTIVE,{},0,0.2,0.5,0.5,-0.10696010393553033,"[{""price"": 23.22, ""amount"": 2066.562}, {""price"": 23.36, ""amount"": 728.714}, {""price"": 23.3, ""amount"": 246.891}]","[{""price"": 24.18, ""amount"": 1998.876}, {""price"": 24.01, ""amount"": 841.166}, {""price"": 25.3, ""amount"": 697.937}]",unknown,
CATI/USDT,1h,LONG,0.36864767663024023,0,0,0,0,0.0,0.0,-0.9999999999913177,0,0.1031,0.1031,0.1056775,0.10155349999999999,0.10104573249999999,0.10620588749999998,24.0,0.025,30.6,2025-07-16 00:23:21.701853,ACTIVE,{},0,1.0,0.5,0.5,0.13130220882571417,"[{""price"": 0.1006, ""amount"": 206963.4}, {""price"": 0.093, ""amount"": 193969.4}, {""price"": 0.1021, ""amount"": 172088.0}]","[{""price"": 0.1054, ""amount"": 629744.7}, {""price"": 0.1043, ""amount"": 467898.4}, {""price"": 0.1044, ""amount"": 112475.6}]",unknown,
