symbol,timeframe,direction,ai_score,ta_strength,signal_strength,whale_score,social_score,news_score,current_price,entry_price,timestamp,predicted_gain,predicted_duration,quality_score,quality_checks_passed,confidence,feature_dummy_ratio,feature_quality_warning,dynamic_strictness,strictness_level,dynamic_min_confidence,dynamic_min_ai_score,dynamic_min_ta_strength,strictness_recommendation,volume_score,momentum_score,pattern_score,pattern_score_vs_avg,whale_direction_score,order_book_imbalance,top_bid_walls,top_ask_walls,target_time_hours
CHZ/USDT,1h,LONG,0.712,0.433,0.433,0.0,0.0,0.0,0.04025,0.04025,2025-07-14 19:14:46.646402,5.0,4-8 saat,0.508,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.267,0.0,1.0,0.0,0.10070718967708236,"[{""price"": 0.03887, ""amount"": 339367.0}, {""price"": 0.03973, ""amount"": 309318.0}, {""price"": 0.03902, ""amount"": 278658.0}]","[{""price"": 0.04078, ""amount"": 303618.0}, {""price"": 0.04168, ""amount"": 265623.0}, {""price"": 0.0417, ""amount"": 262484.0}]",4
CTSI/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.071,0.071,2025-07-14 19:16:22.821278,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.367,0.0,1.0,-0.4931220273093809,-0.23505071137328218,"[{""price"": 0.0626, ""amount"": 186200.0}, {""price"": 0.0621, ""amount"": 161217.0}, {""price"": 0.06, ""amount"": 139024.0}]","[{""price"": 0.0744, ""amount"": 218699.0}, {""price"": 0.0745, ""amount"": 204407.0}, {""price"": 0.0774, ""amount"": 169133.0}]",4
CHR/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.0925,0.0925,2025-07-14 19:16:40.863511,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.3,0.0,1.0,-0.9999999999929653,-0.4658966958046965,"[{""price"": 0.0902, ""amount"": 70683.0}, {""price"": 0.0801, ""amount"": 63842.0}, {""price"": 0.0851, ""amount"": 60091.0}]","[{""price"": 0.0942, ""amount"": 190994.0}, {""price"": 0.0948, ""amount"": 172523.0}, {""price"": 0.1, ""amount"": 163601.0}]",4
BIFI/USDT,1h,LONG,0.749,0.7,0.7,1.0,0.0,0.0,178.7,178.7,2025-07-14 19:55:51.644924,5.0,4-8 saat,0.769,True,0.615,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",1.0,0.667,0.0,1.0,-0.6450772303311465,-0.3789107679801565,"[{""price"": 176.7, ""amount"": 28.383}, {""price"": 172.9, ""amount"": 22.405}, {""price"": 162.0, ""amount"": 12.186}]","[{""price"": 190.0, ""amount"": 79.684}, {""price"": 195.0, ""amount"": 47.794}, {""price"": 180.0, ""amount"": 35.359}]",2
ALGO/USDT,1h,LONG,0.714,0.7,0.7,0.0,0.0,0.0,0.2884,0.2884,2025-07-14 19:42:51.671923,5.0,4-8 saat,0.602,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.433,0.0,1.0,0.0,0.14414142815237535,"[{""price"": 0.285, ""amount"": 99535.0}, {""price"": 0.2873, ""amount"": 94944.0}, {""price"": 0.2867, ""amount"": 88208.0}]","[{""price"": 0.2902, ""amount"": 95752.0}, {""price"": 0.2901, ""amount"": 63728.0}, {""price"": 0.2903, ""amount"": 48255.0}]",3
AEVO/USDT,1h,LONG,0.714,0.333,0.333,1.0,0.0,0.0,0.1066,0.1066,2025-07-14 20:00:14.970883,5.0,4-8 saat,0.624,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.318575502593953,0.24292227005734585,"[{""price"": 0.1046, ""amount"": 481229.85}, {""price"": 0.1056, ""amount"": 407210.91}, {""price"": 0.0915, ""amount"": 244710.62}]","[{""price"": 0.1083, ""amount"": 290926.52}, {""price"": 0.1074, ""amount"": 256524.47}, {""price"": 0.1073, ""amount"": 108134.77}]",4
CGPT/USDT,1h,LONG,0.714,0.333,0.333,0.4,0.0,0.0,0.1077,0.1077,2025-07-14 20:03:39.369751,5.0,4-8 saat,0.534,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.3,0.0,1.0,-0.030640668522735042,-0.011471828542839894,"[{""price"": 0.1044, ""amount"": 151045.4}, {""price"": 0.1059, ""amount"": 80567.5}, {""price"": 0.1072, ""amount"": 72724.6}]","[{""price"": 0.111, ""amount"": 151045.4}, {""price"": 0.1095, ""amount"": 78646.9}, {""price"": 0.1081, ""amount"": 77119.1}]",4
BIGTIME/USDT,1h,LONG,0.714,0.333,0.333,0.8,0.0,0.0,0.06021,0.06021,2025-07-14 20:06:23.527646,5.0,4-8 saat,0.594,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.0009881091397895485,0.03951138168473816,"[{""price"": 0.0592, ""amount"": 2026997.0}, {""price"": 0.05983, ""amount"": 1343845.0}, {""price"": 0.06, ""amount"": 128926.0}]","[{""price"": 0.06131, ""amount"": 1957286.0}, {""price"": 0.06078, ""amount"": 1316282.0}, {""price"": 0.06041, ""amount"": 143905.0}]",4
1INCH/USDT,1h,LONG,0.712,0.333,0.333,0.0,0.0,0.0,0.3271,0.3271,2025-07-14 19:46:55.166359,5.0,4-8 saat,0.473,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.4,0.633,0.0,1.0,0.0,0.028578969982463065,"[{""price"": 0.32, ""amount"": 43150.8}, {""price"": 0.3246, ""amount"": 25519.6}, {""price"": 0.3213, ""amount"": 24240.2}]","[{""price"": 0.33, ""amount"": 50024.8}, {""price"": 0.3325, ""amount"": 27366.5}, {""price"": 0.3301, ""amount"": 19743.8}]",3
BAKE/USDT,1h,LONG,0.712,0.333,0.333,0.4,0.0,0.0,0.0902,0.0902,2025-07-14 19:49:37.383823,5.0,4-8 saat,0.533,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.6,0.4,0.0,1.0,-0.9999999999916237,-0.30987240487312606,"[{""price"": 0.0805, ""amount"": 125495.1}, {""price"": 0.0899, ""amount"": 84116.0}, {""price"": 0.0851, ""amount"": 83110.7}]","[{""price"": 0.0948, ""amount"": 1056735.5}, {""price"": 0.0925, ""amount"": 207624.2}, {""price"": 0.0905, ""amount"": 64829.0}]",3
ATA/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.0522,0.0522,2025-07-14 19:50:16.331759,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.367,0.0,1.0,-0.34229542287701775,-0.22712895593026414,"[{""price"": 0.051, ""amount"": 575537.0}, {""price"": 0.0508, ""amount"": 189266.0}, {""price"": 0.041, ""amount"": 172958.0}]","[{""price"": 0.0539, ""amount"": 236970.0}, {""price"": 0.0573, ""amount"": 224217.0}, {""price"": 0.055, ""amount"": 155576.0}]",4
CHESS/USDT,1h,LONG,0.712,0.467,0.467,1.0,0.0,0.0,0.0748,0.0748,2025-07-14 19:51:14.793286,5.0,4-8 saat,0.67,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.4,0.4,0.0,1.0,-0.1356073843574371,-0.18784863456485967,"[{""price"": 0.071, ""amount"": 269654.6}, {""price"": 0.0713, ""amount"": 218056.1}, {""price"": 0.0644, ""amount"": 155727.1}]","[{""price"": 0.0824, ""amount"": 329481.8}, {""price"": 0.0751, ""amount"": 198207.5}, {""price"": 0.0815, ""amount"": 162574.0}]",3
ADX/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.0961,0.0961,2025-07-14 19:51:32.560176,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.6,0.3,0.0,1.0,0.05398053301648091,0.09983292170873379,"[{""price"": 0.081, ""amount"": 246913.0}, {""price"": 0.0959, ""amount"": 214505.0}, {""price"": 0.075, ""amount"": 200235.0}]","[{""price"": 0.0978, ""amount"": 150138.0}, {""price"": 0.0982, ""amount"": 145212.0}, {""price"": 0.0975, ""amount"": 128981.0}]",4
BICO/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.1058,0.1058,2025-07-14 19:53:02.514602,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.367,0.0,1.0,-0.4856857534911759,-0.34422502970138535,"[{""price"": 0.0914, ""amount"": 117260.26}, {""price"": 0.1035, ""amount"": 114190.75}, {""price"": 0.1045, ""amount"": 109053.51}]","[{""price"": 0.1111, ""amount"": 185885.97}, {""price"": 0.1094, ""amount"": 122553.66}, {""price"": 0.1086, ""amount"": 111128.51}]",4
