symbol,timeframe,direction,ai_score,ta_strength,signal_strength,whale_score,social_score,news_score,current_price,entry_price,timestamp,predicted_gain,predicted_duration,quality_score,quality_checks_passed,confidence,feature_dummy_ratio,feature_quality_warning,dynamic_strictness,strictness_level,dynamic_min_confidence,dynamic_min_ai_score,dynamic_min_ta_strength,strictness_recommendation,volume_score,momentum_score,pattern_score,pattern_score_vs_avg,whale_direction_score,order_book_imbalance,top_bid_walls,top_ask_walls,target_time_hours
ACH/USDT,1h,LONG,0.712,0.333,0.333,0.0,0.0,0.0,0.02128,0.02128,2025-07-14 19:53:40.619148,5.0,4-8 saat,0.473,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.8,0.4,0.0,1.0,0.9999999999563706,0.07750707946991207,"[{""price"": 0.02109, ""amount"": 1086786.0}, {""price"": 0.02114, ""amount"": 397088.0}, {""price"": 0.02124, ""amount"": 378858.0}]","[{""price"": 0.02215, ""amount"": 519980.0}, {""price"": 0.02134, ""amount"": 507647.0}, {""price"": 0.0225, ""amount"": 459540.0}]",4
ACA/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.0292,0.0292,2025-07-14 19:54:36.509259,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.4,0.4,0.0,1.0,-0.6713595492088179,-0.4748852579418896,"[{""price"": 0.0161, ""amount"": 683237.99}, {""price"": 0.028, ""amount"": 680685.15}, {""price"": 0.0289, ""amount"": 505187.09}]","[{""price"": 0.035, ""amount"": 3707760.28}, {""price"": 0.034, ""amount"": 2074462.53}, {""price"": 0.0355, ""amount"": 1454633.46}]",4
ASTR/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.02529,0.02529,2025-07-14 19:55:11.817044,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.22486474178883098,0.18687166242264958,"[{""price"": 0.02482, ""amount"": 4593302.8}, {""price"": 0.02444, ""amount"": 3836656.4}, {""price"": 0.02473, ""amount"": 966680.2}]","[{""price"": 0.02618, ""amount"": 3597017.3}, {""price"": 0.02579, ""amount"": 3443272.4}, {""price"": 0.0276, ""amount"": 312489.4}]",4
ARK/USDT,1h,LONG,0.712,0.567,0.567,0.0,0.0,0.0,0.4395,0.4395,2025-07-14 19:57:23.822378,5.0,4-8 saat,0.554,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.4,0.267,0.0,1.0,0.0,0.09105478469873571,"[{""price"": 0.416, ""amount"": 21650.0}, {""price"": 0.436, ""amount"": 11113.0}, {""price"": 0.4385, ""amount"": 7120.0}]","[{""price"": 0.4426, ""amount"": 12633.0}, {""price"": 0.4404, ""amount"": 12378.0}, {""price"": 0.4416, ""amount"": 6649.0}]",4
BLUR/USDT,1h,LONG,0.712,0.333,0.333,0.2,0.0,0.0,0.0878,0.0878,2025-07-14 19:58:03.623626,5.0,4-8 saat,0.503,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.9999999999852602,0.23158971531013137,"[{""price"": 0.082, ""amount"": 827354.6}, {""price"": 0.0863, ""amount"": 139075.4}, {""price"": 0.0865, ""amount"": 117406.4}]","[{""price"": 0.099, ""amount"": 170375.9}, {""price"": 0.0999, ""amount"": 163849.2}, {""price"": 0.088, ""amount"": 144437.5}]",4
AI/USDT,1h,LONG,0.712,0.333,0.333,0.4,0.0,0.0,0.1476,0.1476,2025-07-14 19:59:34.758316,5.0,4-8 saat,0.533,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.4,0.4,0.0,1.0,0.15963233205977323,-0.16877993362715665,"[{""price"": 0.14, ""amount"": 188378.4}, {""price"": 0.147, ""amount"": 44447.8}, {""price"": 0.1471, ""amount"": 40463.6}]","[{""price"": 0.155, ""amount"": 123303.8}, {""price"": 0.1547, ""amount"": 101740.6}, {""price"": 0.1512, ""amount"": 98539.7}]",3
BB/USDT,1h,LONG,0.712,0.333,0.333,0.4,0.0,0.0,0.1027,0.1027,2025-07-14 20:00:54.064714,5.0,4-8 saat,0.533,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.2818291503973902,0.2255666244988462,"[{""price"": 0.1007, ""amount"": 425882.7}, {""price"": 0.1008, ""amount"": 74752.2}, {""price"": 0.1019, ""amount"": 50663.0}]","[{""price"": 0.1138, ""amount"": 211142.1}, {""price"": 0.1035, ""amount"": 49984.1}, {""price"": 0.1029, ""amount"": 36105.0}]",4
CETUS/USDT,1h,LONG,0.712,0.467,0.467,0.2,0.0,0.0,0.1211,0.1211,2025-07-14 20:01:49.640879,5.0,4-8 saat,0.55,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,-0.9999999999873515,0.05048540961548793,"[{""price"": 0.1202, ""amount"": 181885.9}, {""price"": 0.1089, ""amount"": 130958.9}, {""price"": 0.1194, ""amount"": 128727.5}]","[{""price"": 0.1267, ""amount"": 623995.1}, {""price"": 0.126, ""amount"": 186356.2}, {""price"": 0.1298, ""amount"": 100184.9}]",4
ACX/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.1656,0.1656,2025-07-14 20:02:26.116275,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.3,0.0,1.0,-0.11712899861478149,-0.30784411469922135,"[{""price"": 0.1633, ""amount"": 112500.0}, {""price"": 0.1642, ""amount"": 94024.6}, {""price"": 0.1625, ""amount"": 58167.6}]","[{""price"": 0.1689, ""amount"": 170702.7}, {""price"": 0.1673, ""amount"": 80500.0}, {""price"": 0.181, ""amount"": 68740.7}]",4
COTI/USDT,1h,LONG,0.714,0.333,0.333,0.2,0.0,0.0,0.05671,0.05671,2025-07-14 20:10:01.845432,5.0,4-8 saat,0.504,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,-0.999999999908934,-0.3172091291538716,"[{""price"": 0.05543, ""amount"": 70538.0}, {""price"": 0.05651, ""amount"": 63220.0}, {""price"": 0.05614, ""amount"": 50799.0}]","[{""price"": 0.05815, ""amount"": 188840.0}, {""price"": 0.05818, ""amount"": 142089.0}, {""price"": 0.05856, ""amount"": 110133.0}]",4
COS/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.003406,0.003406,2025-07-14 20:08:47.798874,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,-0.5006798600319339,-0.28356169126248915,"[{""price"": 0.003269, ""amount"": 3179505.2}, {""price"": 0.003358, ""amount"": 2445383.6}, {""price"": 0.003393, ""amount"": 1008311.0}]","[{""price"": 0.0036, ""amount"": 5796689.0}, {""price"": 0.003531, ""amount"": 2812191.0}, {""price"": 0.003457, ""amount"": 2435780.1}]",4
ARPA/USDT,1h,LONG,0.712,0.333,0.333,0.4,0.0,0.0,0.02273,0.02273,2025-07-14 20:09:26.140200,5.0,4-8 saat,0.533,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,-0.44497947020443374,-0.3556094381369118,"[{""price"": 0.022, ""amount"": 794109.3}, {""price"": 0.02241, ""amount"": 454925.2}, {""price"": 0.02205, ""amount"": 445306.1}]","[{""price"": 0.02355, ""amount"": 1371923.9}, {""price"": 0.02342, ""amount"": 562547.9}, {""price"": 0.02364, ""amount"": 460271.0}]",4
CFX/USDT,1h,LONG,0.712,0.333,0.333,0.8,0.0,0.0,0.1016,0.1016,2025-07-14 20:14:27.394725,5.0,4-8 saat,0.593,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.43239932932471753,0.1514783403590476,"[{""price"": 0.1012, ""amount"": 738924.0}, {""price"": 0.1, ""amount"": 460407.0}, {""price"": 0.1013, ""amount"": 416817.0}]","[{""price"": 0.1019, ""amount"": 634027.0}, {""price"": 0.1018, ""amount"": 278218.0}, {""price"": 0.109, ""amount"": 188008.0}]",4
C98/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.0534,0.0534,2025-07-14 20:15:24.440439,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.3,0.0,1.0,-0.08888792290270417,-0.05472657678633677,"[{""price"": 0.0531, ""amount"": 634934.4}, {""price"": 0.0468, ""amount"": 553917.1}, {""price"": 0.0529, ""amount"": 501680.4}]","[{""price"": 0.06, ""amount"": 721851.7}, {""price"": 0.0562, ""amount"": 271965.6}, {""price"": 0.056, ""amount"": 257904.0}]",4
COOKIE/USDT,1h,LONG,0.712,0.467,0.467,0.0,0.0,0.0,0.1869,0.1869,2025-07-14 20:24:09.294939,5.0,4-8 saat,0.52,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.3,0.0,1.0,0.0,0.04419421497195286,"[{""price"": 0.1776, ""amount"": 78617.7}, {""price"": 0.1786, ""amount"": 77145.6}, {""price"": 0.1865, ""amount"": 58728.3}]","[{""price"": 0.19, ""amount"": 51567.1}, {""price"": 0.1872, ""amount"": 44446.8}, {""price"": 0.1871, ""amount"": 42882.0}]",4
ANIME/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.01843,0.01843,2025-07-14 20:24:27.430578,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.3,0.0,1.0,-0.10066581424091431,0.028709779975515985,"[{""price"": 0.01806, ""amount"": 4065040.5}, {""price"": 0.01825, ""amount"": 2455829.7}, {""price"": 0.01814, ""amount"": 685980.0}]","[{""price"": 0.01877, ""amount"": 4076424.8}, {""price"": 0.01859, ""amount"": 2910311.9}, {""price"": 0.01878, ""amount"": 749998.2}]",4
BMT/USDT,1h,LONG,0.712,0.333,0.333,1.0,0.0,0.0,0.0851,0.0851,2025-07-14 20:25:21.304565,5.0,4-8 saat,0.623,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.367,0.0,1.0,-0.0914878593852046,-0.08594365209330641,"[{""price"": 0.0835, ""amount"": 430488.5}, {""price"": 0.0847, ""amount"": 421532.1}, {""price"": 0.0843, ""amount"": 317902.2}]","[{""price"": 0.0869, ""amount"": 416792.9}, {""price"": 0.095, ""amount"": 304289.3}, {""price"": 0.0856, ""amount"": 300580.3}]",4
BROCCOLI714/USDT,1h,LONG,0.712,0.333,0.333,0.0,0.0,0.0,0.04652,0.04652,2025-07-14 20:25:40.844999,5.0,4-8 saat,0.473,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.0,-0.04588549027523797,"[{""price"": 0.04548, ""amount"": 100115.0}, {""price"": 0.04589, ""amount"": 83978.0}, {""price"": 0.04583, ""amount"": 65938.0}]","[{""price"": 0.048, ""amount"": 83400.0}, {""price"": 0.04763, ""amount"": 73050.0}, {""price"": 0.04757, ""amount"": 62084.0}]",4
ALICE/USDT,1h,LONG,0.711,0.467,0.467,0.4,0.0,0.0,0.4536,0.4536,2025-07-14 20:14:09.061771,5.0,4-8 saat,0.579,True,0.37,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,-0.21479437638352572,-0.11755870882474594,"[{""price"": 0.4465, ""amount"": 25361.48}, {""price"": 0.4504, ""amount"": 15361.2}, {""price"": 0.4467, ""amount"": 10930.03}]","[{""price"": 0.4687, ""amount"": 37378.38}, {""price"": 0.4568, ""amount"": 18433.03}, {""price"": 0.4552, ""amount"": 11026.25}]",4
ARB/USDT,1h,LONG,0.711,0.467,0.467,0.0,0.0,0.0,0.4095,0.4095,2025-07-14 20:19:08.004298,5.0,4-8 saat,0.519,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.0,0.09426872832071106,"[{""price"": 0.4, ""amount"": 198569.4}, {""price"": 0.4068, ""amount"": 100373.9}, {""price"": 0.4074, ""amount"": 71596.2}]","[{""price"": 0.4106, ""amount"": 83731.5}, {""price"": 0.4126, ""amount"": 83000.1}, {""price"": 0.4111, ""amount"": 76912.5}]",4
ACT/USDT,1h,LONG,0.711,0.333,0.333,1.0,0.0,0.0,0.0425,0.0425,2025-07-14 20:22:55.195447,5.0,4-8 saat,0.622,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.3,0.0,1.0,0.288848337135451,0.025703417066974203,"[{""price"": 0.035, ""amount"": 1193711.8}, {""price"": 0.0375, ""amount"": 654865.9}, {""price"": 0.038, ""amount"": 549395.5}]","[{""price"": 0.0426, ""amount"": 638788.3}, {""price"": 0.0428, ""amount"": 572572.6}, {""price"": 0.0451, ""amount"": 446225.9}]",4
BIO/USDT,1h,LONG,0.711,0.467,0.467,0.0,0.0,0.0,0.0697,0.0697,2025-07-14 20:23:31.501838,5.0,4-8 saat,0.519,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.367,0.0,1.0,0.0,0.07034098162547875,"[{""price"": 0.069, ""amount"": 317872.9}, {""price"": 0.0692, ""amount"": 235571.5}, {""price"": 0.0693, ""amount"": 211334.1}]","[{""price"": 0.0709, ""amount"": 444298.7}, {""price"": 0.08, ""amount"": 395640.1}, {""price"": 0.078, ""amount"": 270641.1}]",4
AIXBT/USDT,1h,LONG,0.711,0.467,0.467,0.0,0.0,0.0,0.1542,0.1542,2025-07-14 20:23:49.479113,5.0,4-8 saat,0.519,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.3,0.0,1.0,0.0,0.2400736672087323,"[{""price"": 0.1505, ""amount"": 271283.8}, {""price"": 0.1439, ""amount"": 141775.4}, {""price"": 0.1532, ""amount"": 112831.0}]","[{""price"": 0.163, ""amount"": 165063.7}, {""price"": 0.1546, ""amount"": 103317.7}, {""price"": 0.1543, ""amount"": 97902.0}]",4
BEL/USDT,1h,LONG,0.709,0.333,0.333,0.2,0.0,0.0,0.2856,0.2856,2025-07-14 20:11:00.101629,5.0,4-8 saat,0.501,True,0.371,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,-0.9999999998989204,-0.37574539401636037,"[{""price"": 0.2825, ""amount"": 7824.2}, {""price"": 0.2835, ""amount"": 7703.2}, {""price"": 0.2766, ""amount"": 6949.9}]","[{""price"": 0.2927, ""amount"": 33799.8}, {""price"": 0.2928, ""amount"": 26475.2}, {""price"": 0.2921, ""amount"": 16284.1}]",3
AVA/USDT,1h,LONG,0.709,0.467,0.467,0.6,0.0,0.0,0.6075,0.6075,2025-07-14 20:12:16.675157,5.0,4-8 saat,0.608,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,-0.5207950104591557,-0.2576868252197823,"[{""price"": 0.6009, ""amount"": 12608.9}, {""price"": 0.6044, ""amount"": 4626.3}, {""price"": 0.6049, ""amount"": 1646.7}]","[{""price"": 0.6218, ""amount"": 22050.8}, {""price"": 0.622, ""amount"": 16614.2}, {""price"": 0.6101, ""amount"": 5427.1}]",4
AMP/USDT,1h,LONG,0.709,0.333,0.333,1.0,0.0,0.0,0.003778,0.003778,2025-07-14 20:16:40.779190,5.0,4-8 saat,0.621,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.367,0.0,1.0,-0.2219698964701663,-0.12985790203305095,"[{""price"": 0.003757, ""amount"": 2273156.0}, {""price"": 0.003754, ""amount"": 2022862.0}, {""price"": 0.003749, ""amount"": 989615.0}]","[{""price"": 0.003789, ""amount"": 2550743.0}, {""price"": 0.003791, ""amount"": 2081972.0}, {""price"": 0.00379, ""amount"": 2053447.0}]",4
ARKM/USDT,1h,LONG,0.709,0.567,0.567,0.6,0.0,0.0,0.536,0.536,2025-07-14 20:19:26.673609,5.0,4-8 saat,0.643,True,0.37,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.267,0.0,1.0,0.21077853537831454,0.10570446811196438,"[{""price"": 0.526, ""amount"": 198665.6}, {""price"": 0.535, ""amount"": 84087.6}, {""price"": 0.51, ""amount"": 71361.9}]","[{""price"": 0.547, ""amount"": 178133.0}, {""price"": 0.538, ""amount"": 72561.9}, {""price"": 0.541, ""amount"": 65618.5}]",4
BEAMX/USDT,1h,LONG,0.709,0.333,0.333,0.2,0.0,0.0,0.00682,0.00682,2025-07-14 20:20:05.413599,5.0,4-8 saat,0.501,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.9999999999882725,0.019674154454387267,"[{""price"": 0.0068, ""amount"": 12539524.0}, {""price"": 0.00677, ""amount"": 2103424.0}, {""price"": 0.00678, ""amount"": 2094151.0}]","[{""price"": 0.00703, ""amount"": 2529223.0}, {""price"": 0.00691, ""amount"": 2142166.0}, {""price"": 0.007, ""amount"": 1837078.0}]",4
1000SATS/USDT,1h,LONG,0.709,0.333,0.333,0.0,0.0,0.0,4.439e-05,4.439e-05,2025-07-14 20:20:41.242523,5.0,4-8 saat,0.471,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.0,0.32625308117202245,"[{""price"": 4.406e-05, ""amount"": 687305157.0}, {""price"": 4.392e-05, ""amount"": 571906352.0}, {""price"": 4.369e-05, ""amount"": 403631959.0}]","[{""price"": 4.55e-05, ""amount"": 163226247.0}, {""price"": 4.44e-05, ""amount"": 120578835.0}, {""price"": 4.447e-05, ""amount"": 78863586.0}]",4
BONK/USDT,1h,LONG,0.709,0.467,0.467,0.0,0.0,0.0,2.752e-05,2.752e-05,2025-07-14 20:37:28.603180,5.0,4-8 saat,0.518,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.4,0.433,0.0,1.0,0.0,-0.05278125509105276,"[{""price"": 2.747e-05, ""amount"": 7857495327.0}, {""price"": 2.749e-05, ""amount"": 7555214597.0}, {""price"": 2.748e-05, ""amount"": 6611774024.0}]","[{""price"": 2.8e-05, ""amount"": 10447877188.0}, {""price"": 2.798e-05, ""amount"": 10084906390.0}, {""price"": 2.85e-05, ""amount"": 8845104664.0}]",3
ALT/USDT,1h,LONG,0.709,0.433,0.433,0.0,0.0,0.0,0.03417,0.03417,2025-07-14 20:38:05.124319,5.0,4-8 saat,0.506,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.267,0.0,1.0,0.0,-0.055058457445433515,"[{""price"": 0.03357, ""amount"": 398521.0}, {""price"": 0.03365, ""amount"": 280274.0}, {""price"": 0.03384, ""amount"": 242981.0}]","[{""price"": 0.03478, ""amount"": 404521.0}, {""price"": 0.0345, ""amount"": 324903.0}, {""price"": 0.0343, ""amount"": 308810.0}]",4
BOME/USDT,1h,LONG,0.709,0.333,0.333,0.0,0.0,0.0,0.00181,0.00181,2025-07-14 20:38:24.301087,5.0,4-8 saat,0.471,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.0,0.29251819431980886,"[{""price"": 0.001772, ""amount"": 17809753.0}, {""price"": 0.001762, ""amount"": 15807791.0}, {""price"": 0.001797, ""amount"": 13572210.0}]","[{""price"": 0.00186, ""amount"": 6321230.0}, {""price"": 0.001895, ""amount"": 5285932.0}, {""price"": 0.001812, ""amount"": 4842267.0}]",4
1MBABYDOGE/USDT,1h,LONG,0.709,0.333,0.333,0.0,0.0,0.0,0.0013524,0.0013524,2025-07-14 20:39:00.825207,5.0,4-8 saat,0.471,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.4,0.0,1.0,0.0,-0.10835140696340195,"[{""price"": 0.001348, ""amount"": 1963790.0}, {""price"": 0.0013422, ""amount"": 1930451.0}, {""price"": 0.0013476, ""amount"": 1790492.0}]","[{""price"": 0.0013583, ""amount"": 13709491.0}, {""price"": 0.0013576, ""amount"": 2275803.0}, {""price"": 0.0013544, ""amount"": 1369235.0}]",4
1000CAT/USDT,1h,LONG,0.709,0.333,0.333,0.0,0.0,0.0,0.00756,0.00756,2025-07-14 20:39:24.521410,5.0,4-8 saat,0.471,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.3,0.0,1.0,0.0,-0.031494734240062154,"[{""price"": 0.00749, ""amount"": 2327706.0}, {""price"": 0.0072, ""amount"": 1043312.3}, {""price"": 0.00753, ""amount"": 808088.1}]","[{""price"": 0.00786, ""amount"": 1055355.2}, {""price"": 0.0076, ""amount"": 655635.5}, {""price"": 0.00761, ""amount"": 637525.5}]",4
BANANAS31/USDT,1h,LONG,0.709,0.333,0.333,0.0,0.0,0.0,0.008636,0.008636,2025-07-14 20:40:27.948949,5.0,4-8 saat,0.471,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.567,0.0,1.0,0.0,-0.017623230890938656,"[{""price"": 0.00855, ""amount"": 1781495.0}, {""price"": 0.00858, ""amount"": 820359.0}, {""price"": 0.008595, ""amount"": 597137.0}]","[{""price"": 0.00865, ""amount"": 1144134.0}, {""price"": 0.008737, ""amount"": 1000000.0}, {""price"": 0.008703, ""amount"": 751294.0}]",4
BABY/USDT,1h,LONG,0.709,0.333,0.333,1.0,0.0,0.0,0.05179,0.05179,2025-07-14 20:40:48.986643,5.0,4-8 saat,0.621,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.367,0.0,1.0,0.181116259679215,0.19494864406625476,"[{""price"": 0.05094, ""amount"": 1421134.0}, {""price"": 0.05162, ""amount"": 1372141.0}, {""price"": 0.05082, ""amount"": 1336884.0}]","[{""price"": 0.05267, ""amount"": 1325000.0}, {""price"": 0.05257, ""amount"": 1079415.0}, {""price"": 0.05225, ""amount"": 678128.0}]",4
CKB/USDT,1h,LONG,0.708,0.333,0.333,0.0,0.0,0.0,0.004271,0.004271,2025-07-14 20:32:00.717111,5.0,4-8 saat,0.47,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.367,0.0,1.0,0.00034372734692699266,0.0005912630360041886,"[{""price"": 0.004203, ""amount"": 18558637.0}, {""price"": 0.004246, ""amount"": 12270526.0}, {""price"": 0.00423, ""amount"": 1873923.0}]","[{""price"": 0.004358, ""amount"": 17898566.0}, {""price"": 0.004315, ""amount"": 12053591.0}, {""price"": 0.004296, ""amount"": 1876481.0}]",4
BTTC/USDT,1h,LONG,0.708,0.567,0.567,1.0,0.0,0.0,7.1e-07,7.1e-07,2025-07-14 20:35:26.569474,5.0,4-8 saat,0.702,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.667,0.0,1.0,-0.03794966308206743,0.12141155591387745,"[{""price"": 6.8e-07, ""amount"": 388186638090.0}, {""price"": 6.9e-07, ""amount"": 369238142456.0}, {""price"": 7e-07, ""amount"": 231236263711.0}]","[{""price"": 7.1e-07, ""amount"": 287130751556.0}, {""price"": 7.2e-07, ""amount"": 184202828254.0}, {""price"": 7.3e-07, ""amount"": 129099729497.0}]",3
ACE/USDT,1h,LONG,0.708,0.567,0.567,1.0,0.0,0.0,0.561,0.561,2025-07-14 20:37:45.911811,5.0,4-8 saat,0.702,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.267,0.0,1.0,0.08238366022167679,-0.2063769381956714,"[{""price"": 0.557, ""amount"": 24900.7}, {""price"": 0.558, ""amount"": 21005.6}, {""price"": 0.556, ""amount"": 20216.9}]","[{""price"": 0.562, ""amount"": 18801.8}, {""price"": 0.585, ""amount"": 18289.0}, {""price"": 0.59, ""amount"": 16879.7}]",4
1000CHEEMS/USDT,1h,LONG,0.708,0.333,0.333,0.2,0.0,0.0,0.001362,0.001362,2025-07-14 20:40:06.807991,5.0,4-8 saat,0.5,True,0.369,0.0,False,0.5,DÜŞÜK SIKILIK,0.5,0.4,0.35,"Daha fazla sinyal - Düşük sıkılık, fırsat odaklı",0.2,0.3,0.0,1.0,-0.999999999884515,-0.23704762454975195,"[{""price"": 0.001319, ""amount"": 5246003.0}, {""price"": 0.001342, ""amount"": 3334106.0}, {""price"": 0.001356, ""amount"": 3133992.0}]","[{""price"": 0.001405, ""amount"": 6163087.0}, {""price"": 0.001365, ""amount"": 5070518.0}, {""price"": 0.001369, ""amount"": 4484334.0}]",4
